"","decimallongitude","decimallatitude","date_year","scientificname","coordinateuncertaintyinmeters","bathymetry","sst","sss"
"4705",53.044,24.639,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4706",53.028,24.643,2016,"Chelonia mydas",111.32,4,27.91,38.67
"4707",53.038,24.645,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4708",53.042,24.643,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4709",53.026,24.655,2016,"Chelonia mydas",111.32,9,27.91,38.67
"4710",53.048,24.637,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4711",53.035,24.635,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4712",53.033,24.639,2016,"Chelonia mydas",111.32,3,27.91,38.67
"4713",53.034,24.64,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4714",53.033,24.648,2016,"Chelonia mydas",111.32,4,27.91,38.67
"4715",53.043,24.638,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4716",53.06,24.638,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4717",53.044,24.641,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4718",53.043,24.632,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4719",53.044,24.633,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4720",53.033,24.646,2016,"Chelonia mydas",111.32,4,27.91,38.67
"4721",53.042,24.634,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4722",53.039,24.637,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4723",53.042,24.639,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4724",53.058,24.629,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4725",53.038,24.654,2016,"Chelonia mydas",111.32,6,27.91,38.67
"4726",53.038,24.641,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4727",53.012,24.655,2016,"Chelonia mydas",111.32,10,27.91,38.67
"4728",53.05,24.645,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4729",53.051,24.643,2016,"Chelonia mydas",111.32,2,27.91,38.67
"4730",53.032,24.649,2016,"Chelonia mydas",111.32,4,27.91,38.67
"4731",53.026,24.646,2016,"Chelonia mydas",111.32,4,27.91,38.67
