"oid","longitude","latitude","providers","species","datasets","date_min","date_max","num_records","num_animals","num_species","y1_value","y2_value","y3_value","csquare","geom_wkt"
10436235,-23.5,-9.4,"Paolo Luschi, University of Pisa, Italy; Graeme Hays, Swansea University, UK; and Susanne Akesson, und University, Sweden","Chelonia mydas","994","1997-07-18","1997-07-18",1,1,1,,,,"5002:393:144","POLYGON((-23.4 -9.4,-23.4 -9.5,-23.5 -9.5,-23.5 -9.4,-23.4 -9.4))"
10436231,-23.5,-9.2,"Paolo Luschi, University of Pisa, Italy; Graeme Hays, Swansea University, UK; and Susanne Akesson, und University, Sweden","Chelonia mydas","994","1998-07-13","1998-07-13",1,1,1,,,,"5002:393:124","POLYGON((-23.4 -9.2,-23.4 -9.3,-23.5 -9.3,-23.5 -9.2,-23.4 -9.2))"
10436147,-23.5,-8.9,"Paolo Luschi, University of Pisa, Italy; Graeme Hays, Swansea University, UK; and Susanne Akesson, und University, Sweden","Chelonia mydas","994","1997-05-26","1997-05-26",1,1,1,,,,"5002:383:384","POLYGON((-23.4 -8.8,-23.4 -8.9,-23.5 -8.9,-23.5 -8.8,-23.4 -8.8))"
10436146,-23.5,-8.6,"Paolo Luschi, University of Pisa, Italy; Graeme Hays, Swansea University, UK; and Susanne Akesson, und University, Sweden","Chelonia mydas","994","1997-07-09","1997-07-09",1,1,1,,,,"5002:383:364","POLYGON((-23.4 -8.6,-23.4 -8.7,-23.5 -8.7,-23.5 -8.6,-23.4 -8.6))"
10436135,-23.5,-8.3,"Paolo Luschi, University of Pisa, Italy; Graeme Hays, Swansea University, UK; and Susanne Akesson, und University, Sweden","Chelonia mydas","994","1998-06-19","1998-06-19",2,1,1,,,,"5002:383:134","POLYGON((-23.4 -8.3,-23.4 -8.4,-23.5 -8.4,-23.5 -8.3,-23.4 -8.3))"
10436131,-23.4,-8.0,"Paolo Luschi, University of Pisa, Italy; Graeme Hays, Swansea University, UK; and Susanne Akesson, und University, Sweden","Chelonia mydas","994","1998-06-17","1998-06-17",3,1,1,,,,"5002:383:104","POLYGON((-23.4 -8,-23.4 -8.1,-23.5 -8.1,-23.5 -8,-23.4 -8))"
10436015,-23.5,-7.5,"Paolo Luschi, University of Pisa, Italy; Graeme Hays, Swansea University, UK; and Susanne Akesson, und University, Sweden","Chelonia mydas","994","1998-06-20","1998-06-20",1,1,1,,,,"5002:373:354","POLYGON((-23.4 -7.5,-23.4 -7.6,-23.5 -7.6,-23.5 -7.5,-23.4 -7.5))"
10436011,-23.5,-7.5,"Paolo Luschi, University of Pisa, Italy; Graeme Hays, Swansea University, UK; and Susanne Akesson, und University, Sweden","Chelonia mydas","994","1998-06-20","1998-06-20",1,1,1,,,,"5002:373:144","POLYGON((-23.4 -7.4,-23.4 -7.5,-23.5 -7.5,-23.5 -7.4,-23.4 -7.4))"
10435955,-23.5,-6.8,"Paolo Luschi, University of Pisa, Italy; Graeme Hays, Swansea University, UK; and Susanne Akesson, und University, Sweden","Chelonia mydas","994","1998-06-21","1998-06-21",1,1,1,,,,"5002:363:384","POLYGON((-23.4 -6.8,-23.4 -6.9,-23.5 -6.9,-23.5 -6.8,-23.4 -6.8))"
10435953,-23.4,-6.7,"Paolo Luschi, University of Pisa, Italy; Graeme Hays, Swansea University, UK; and Susanne Akesson, und University, Sweden","Chelonia mydas","994","1997-07-18","1997-07-18",1,1,1,,,,"5002:363:374","POLYGON((-23.4 -6.7,-23.4 -6.8,-23.5 -6.8,-23.5 -6.7,-23.4 -6.7))"
