sci.name,obsv.datetime,lat,lon,life.stage,bathy,SST,SSS,common.name
Chelonia mydas,2016-08-26T12:33:00Z,24.25,53.694,NA,18,27.99,38.79,Green
Chelonia mydas,2018-05-15T14:01:00Z,24.935,57.907,NA,1200,28.28,36.77,Green
Caretta caretta,2011-12-22T17:25:13Z,5.74568,58.78991,Juvenile,3924,28.63,35.67,Loggerhead
Caretta caretta,2011-08-11T19:10:20Z,5.39137,49.62809,Juvenile,2970,27.17,35.43,Loggerhead
Chelonia mydas,2016-08-13T22:27:00Z,24.679,53.047,NA,11,27.91,38.69,Green
Caretta caretta,2011-11-17T19:40:54Z,2.102,47.366,Juvenile,3491,27.23,35.32,Loggerhead
Chelonia mydas,2017-06-02T11:06:00Z,24.654,53.033,NA,9,27.91,38.67,Green
Chelonia mydas,2016-12-01T12:34:00Z,24.64,53.039,NA,2,27.91,38.67,Green
Caretta caretta,2011-04-16T18:22:14Z,7.17277,59.02862,Juvenile,3059,28.38,35.77,Loggerhead
Chelonia mydas,2017-07-16T04:52:00Z,24.644,53.034,NA,2,27.91,38.67,Green
Chelonia mydas,2018-05-13T10:21:00Z,24.653,53.073,NA,2,27.91,38.67,Green
Caretta caretta,2011-06-16T15:07:10Z,2.23891,58.08572,Juvenile,4626,28.87,35.38,Loggerhead
Chelonia mydas,2017-04-04T02:59:00Z,24.647,54.354,NA,13,28.14,38.93,Green
Caretta caretta,2012-04-11T01:28:46Z,15.23015,56.38425,Juvenile,2507,26.95,36.11,Loggerhead
Chelonia mydas,2018-08-21T06:45:00Z,24.627,53.131,NA,4,27.93,38.71,Green
Caretta caretta,2011-02-27T03:22:20Z,10.56395,55.70193,Juvenile,4172,27.04,35.91,Loggerhead
Caretta caretta,2012-05-20T04:02:09Z,14.80343,55.16061,Juvenile,3020,27.04,36.08,Loggerhead
Chelonia mydas,2018-10-14T05:17:00Z,24.564,53.358,NA,2,28.02,38.74,Green
Chelonia mydas,2018-03-26T06:44:00Z,24.535,53.105,NA,2,27.94,38.67,Green
Caretta caretta,2012-02-06T10:43:05Z,9.22904,50.71847,Juvenile,34,26.21,35.65,Loggerhead
Chelonia mydas,2018-04-28T18:18:00Z,25.752,55.861,NA,3,28.13,38.64,Green
Caretta caretta,2012-01-14T12:49:06Z,10.92138,55.80075,Juvenile,4225,27.05,35.94,Loggerhead
Caretta caretta,2012-01-11T18:33:29Z,10.40873,56.31904,Juvenile,1599,27.2,35.93,Loggerhead
Chelonia mydas,2017-05-12T13:39:00Z,25.773,55.836,NA,6,28.13,38.64,Green
Caretta caretta,2011-02-06T02:06:54Z,4.40177,53.89927,Juvenile,5211,27.93,35.47,Loggerhead
Chelonia mydas,2018-05-26T11:14:00Z,25.982,56.042,NA,12,28.09,38.2,Green
Chelonia mydas,2018-07-03T05:55:00Z,22.538,59.801,NA,220,26.95,36.64,Green
Caretta caretta,2011-03-28T08:59:07Z,16.5399,54.36425,Juvenile,2434,26.64,36.07,Loggerhead
Caretta caretta,2012-05-01T08:21:21Z,15.87911,55.78172,Juvenile,2896,26.9,36.1,Loggerhead
Chelonia mydas,2016-10-02T19:16:00Z,24.627,53.043,NA,2,27.91,38.67,Green
Chelonia mydas,2018-04-15T12:17:00Z,24.572,53.161,NA,11,27.94,38.67,Green
Chelonia mydas,2017-06-22T23:12:00Z,23.674,58.497,NA,24,28.11,36.81,Green
Caretta caretta,2012-03-14T06:41:45Z,9.2366,50.69241,Juvenile,2,26.21,35.65,Loggerhead
Chelonia mydas,2018-04-10T13:48:00Z,24.395,53.11,NA,5,28.01,38.64,Green
Chelonia mydas,2016-12-15T05:57:00Z,24.655,53.026,NA,9,27.91,38.67,Green
Caretta caretta,2011-04-01T19:45:13Z,15.45929,54.66311,Juvenile,3097,26.94,36.09,Loggerhead
Chelonia mydas,2018-04-01T13:25:00Z,24.465,53.34,NA,8,28.02,38.74,Green
Caretta caretta,2012-06-17T07:20:47Z,19.53284,62.09566,Juvenile,3551,27.07,36.36,Loggerhead
Chelonia mydas,2016-08-27T23:12:00Z,24.111,52.486,NA,2,27.79,38.08,Green
Caretta caretta,2011-12-03T20:11:02Z,1.41042,54.63437,Juvenile,4973,28.4,35.36,Loggerhead
Chelonia mydas,2018-05-02T06:44:00Z,24.621,52.957,NA,10,27.89,38.66,Green
Caretta caretta,2011-01-06T08:13:47Z,4.98175,60.07933,Juvenile,4359,28.9,35.62,Loggerhead
Chelonia mydas,2016-06-17T16:10:00Z,24.296,53.409,NA,7,28.02,38.69,Green
Caretta caretta,2011-01-03T21:56:48Z,4.29568,59.62371,Juvenile,3795,28.92,35.55,Loggerhead
Chelonia mydas,2017-05-14T05:52:00Z,24.664,53.044,NA,7,27.91,38.67,Green
Chelonia mydas,2018-11-28T02:26:00Z,22.539,60.028,NA,1887,26.8,36.61,Green
Caretta caretta,2012-02-12T09:37:14Z,16.61102,55.73895,Juvenile,3206,26.56,36.1,Loggerhead
Caretta caretta,2011-05-08T04:51:45Z,16.03732,55.48156,Juvenile,3533,26.84,36.1,Loggerhead
Chelonia mydas,2018-07-12T03:34:00Z,22.39,59.844,NA,325,26.48,36.59,Green
Caretta caretta,2011-04-08T13:36:58Z,15.71896,53.10633,Juvenile,2392,26.95,36.1,Loggerhead
Caretta caretta,2012-05-30T01:13:08Z,17.6885,57.43568,Juvenile,513,26.17,36.12,Loggerhead
Chelonia mydas,2018-03-23T11:50:00Z,24.567,53.09,NA,2,27.94,38.67,Green
Caretta caretta,2012-04-25T15:31:50Z,15.65844,56.96831,Juvenile,3224,26.87,36.13,Loggerhead
Chelonia mydas,2018-06-27T11:44:00Z,24.487,53.006,NA,8,27.96,38.64,Green
Chelonia mydas,2017-07-06T02:39:00Z,24.657,53.076,NA,3,27.91,38.67,Green
