,occurrenceID,scientificName,dateIdentified,eventDate,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,individualCount,lifeStage,sex,bathymetry,shoredistance,sst,sss
146,1255_768631,Eretmochelys imbricata,2010-06-18T20:39:33/2010-12-29T19:38:19,2010-06-18T20:39:33/2010-12-29T19:38:19,18.5,56.5,111319.49,2,Adult,Female,-32,-13549,NA,NA
147,1255_768504,Eretmochelys imbricata,2010-05-25T17:28:54/2010-05-25T17:28:54,2010-05-25T17:28:54/2010-05-25T17:28:54,22.5,60.5,111319.49,1,Adult,Female,3013,68413,26.71,36.52
148,1257_61268,Eretmochelys imbricata,2011-10-30T09:59:56/2012-05-18T14:36:55,2011-10-30T09:59:56/2012-05-18T14:36:55,19.5,57.5,111319.49,1,Adult,Female,-143,-20946,NA,NA
149,1257_60002,Eretmochelys imbricata,2011-04-21T13:04:15/2011-06-11T15:31:58,2011-04-21T13:04:15/2011-06-11T15:31:58,22.5,59.5,111319.49,3,Adult,Female;Male,-65,-8319,NA,NA
150,1498_875157,Eretmochelys imbricata,2018-01-01T05:04:03/2018-08-12T08:09:36,2018-01-01T05:04:03/2018-08-12T08:09:36,24.5,54.5,111319.49,2,Subadult,Unknown,-1,84,NA,NA
151,1282_208264,Eretmochelys imbricata,2012-06-04T05:18:21/2012-06-10T06:59:36,2012-06-04T05:18:21/2012-06-10T06:59:36,27.5,49.5,111319.49,1,Adult,Female,7,16294,26.26,37.16
152,1255_768940,Eretmochelys imbricata,2010-09-27T10:02:22/2010-09-27T10:02:22,2010-09-27T10:02:22/2010-09-27T10:02:22,20.5,57.5,111319.49,1,Adult,Female,-51,-46385,NA,NA
153,1255_769264,Eretmochelys imbricata,2010-05-14T13:04:17/2010-05-14T13:04:17,2010-05-14T13:04:17/2010-05-14T13:04:17,28.5,61.5,111319.49,1,Adult,Female,-1167,-353099,NA,NA
154,1282_215575,Eretmochelys imbricata,2012-06-09T16:04:54/2013-04-06T04:28:51,2012-06-09T16:04:54/2013-04-06T04:28:51,26.5,52.5,111319.49,5,Adult,Female,74,75521,27.75,38.37
155,1498_875704,Eretmochelys imbricata,2018-06-12T18:32:21/2018-06-13T09:12:27,2018-06-12T18:32:21/2018-06-13T09:12:27,26.5,55.5,111319.49,2,Subadult,Unknown,5,9927,27.88,37.17
156,1255_765828,Eretmochelys imbricata,2011-04-22T19:54:57/2011-04-22T19:54:57,2011-04-22T19:54:57/2011-04-22T19:54:57,27.5,57.5,111319.49,1,Adult,Female,-435,-73856,NA,NA
157,1255_768712,Eretmochelys imbricata,2010-05-23T17:58:24/2010-05-28T12:49:51,2010-05-23T17:58:24/2010-05-28T12:49:51,26.5,56.5,111319.49,1,Adult,Female,64,926,27.98,36.95
158,1282_217448,Eretmochelys imbricata,2012-04-26T18:19:09/2014-06-19T16:03:41,2012-04-26T18:19:09/2014-06-19T16:03:41,24.5,54.5,111319.49,8,Adult,Female,-1,84,NA,NA
159,1255_769026,Eretmochelys imbricata,2010-05-29T12:43:22/2011-02-12T16:42:14,2010-05-29T12:43:22/2011-02-12T16:42:14,19.5,58.5,111319.49,3,Adult,Female,859,74943,26.03,36.22
160,1255_768453,Eretmochelys imbricata,2010-06-27T17:07:17/2011-02-13T20:08:18,2010-06-27T17:07:17/2011-02-13T20:08:18,17.5,56.5,111319.49,1,Adult,Female,451,15644,25.99,36.05
161,1282_216214,Eretmochelys imbricata,2012-06-22T20:15:03/2014-05-30T19:02:05,2012-06-22T20:15:03/2014-05-30T19:02:05,24.5,51.5,111319.49,4,Adult,Female,6,5797,27.48,37.75
162,1255_769665,Eretmochelys imbricata,2010-05-05T18:07:51/2011-01-27T10:59:24,2010-05-05T18:07:51/2011-01-27T10:59:24,23.5,57.5,111319.49,3,Adult,Female,-203,-34203,NA,NA
163,1255_769477,Eretmochelys imbricata,2010-06-06T13:38:18/2013-04-18T08:16:39,2010-06-06T13:38:18/2013-04-18T08:16:39,27.5,50.5,111319.49,2,Adult,Female,53,44227,26.84,38.63
164,1282_191492,Eretmochelys imbricata,2012-06-03T17:50:27/2012-12-11T13:37:08,2012-06-03T17:50:27/2012-12-11T13:37:08,18.5,56.5,111319.49,3,Adult,Female,-32,-13549,NA,NA
165,1282_280015,Eretmochelys imbricata,2012-04-19T09:47:15/2013-05-07T06:18:07,2012-04-19T09:47:15/2013-05-07T06:18:07,23.5,57.5,111319.49,6,Adult,Female,-203,-34203,NA,NA
166,1257_61459,Eretmochelys imbricata,2011-06-16T19:38:09/2012-01-25T18:04:46,2011-06-16T19:38:09/2012-01-25T18:04:46,20.5,57.5,111319.49,4,Adult,Female;Male,-51,-46385,NA,NA
167,1255_769195,Eretmochelys imbricata,2010-06-15T16:02:58/2010-11-16T13:29:10,2010-06-15T16:02:58/2010-11-16T13:29:10,23.5,46.5,111319.49,2,Adult,Female,-1076,-442833,NA,NA
168,1282_279989,Eretmochelys imbricata,2012-04-19T09:04:56/2013-05-05T13:58:54,2012-04-19T09:04:56/2013-05-05T13:58:54,23.5,58.5,111319.49,7,Adult,Female,-112,-13462,NA,NA
169,1255_768862,Eretmochelys imbricata,2010-05-19T18:41:51/2010-06-02T13:35:37,2010-05-19T18:41:51/2010-06-02T13:35:37,21.5,59.5,111319.49,2,Adult,Female,18,11591,25.95,36.21
170,1255_764964,Eretmochelys imbricata,2010-07-20T13:23:42/2010-07-20T13:23:42,2010-07-20T13:23:42/2010-07-20T13:23:42,27.5,60.5,111319.49,1,Adult,Female,-866,-228743,NA,NA
171,1257_68123,Eretmochelys imbricata,2011-05-04T11:37:18/2011-09-26T12:37:39,2011-05-04T11:37:18/2011-09-26T12:37:39,26.5,50.5,111319.49,2,Adult,Female,2,8549,26.73,37.79
172,1255_770470,Eretmochelys imbricata,2010-05-23T05:38:01/2011-04-23T12:05:41,2010-05-23T05:38:01/2011-04-23T12:05:41,24.5,51.5,111319.49,3,Adult,Female,6,5797,27.48,37.75
173,1255_770461,Eretmochelys imbricata,2010-06-03T08:36:41/2011-06-29T18:50:20,2010-06-03T08:36:41/2011-06-29T18:50:20,24.5,52.5,111319.49,7,Adult,Female,19,16075,27.81,38.4
174,diveboard:30310_455968_0,Eretmochelys imbricata,NA,2012-09-29T15:29:00,25.4824,56.3661,NA,NA,NA,NA,-16,404,28.46,36.84
175,1255_768187,Eretmochelys imbricata,2010-05-10T11:19:10/2011-09-24T09:51:17,2010-05-10T11:19:10/2011-09-24T09:51:17,25.5,54.5,111319.49,4,Adult,Female,41,26028,28.29,38.66
176,802_332653,Eretmochelys imbricata,2012-09-14T09:04:51/2012-09-15T17:23:49,2012-09-14T09:04:51/2012-09-15T17:23:49,26.5,55.5,111319.49,1,Juvenile,Unknown,5,9927,27.88,37.17
177,1255_768455,Eretmochelys imbricata,2010-06-28T14:04:59/2011-03-02T20:14:32,2010-06-28T14:04:59/2011-03-02T20:14:32,17.5,55.5,111319.49,1,Adult,Female,742,10310,25.66,35.75
178,1255_768451,Eretmochelys imbricata,2011-02-09T09:49:52/2011-02-09T09:49:52,2011-02-09T09:49:52/2011-02-09T09:49:52,16.5,59.5,111319.49,1,Adult,Female,3116,328055,26.93,36.18
179,1257_60038,Eretmochelys imbricata,2011-04-27T10:00:32/2011-04-27T10:00:32,2011-04-27T10:00:32/2011-04-27T10:00:32,20.5,59.5,111319.49,1,Adult,Female,2536,55976,26.4,36.28
180,1255_768273,Eretmochelys imbricata,2010-05-18T07:37:26/2012-04-26T07:26:19,2010-05-18T07:37:26/2012-04-26T07:26:19,24.5,53.5,111319.49,5,Adult,Female,14,13065,28.05,38.78
181,802_693932,Eretmochelys imbricata,2015-06-25T14:55:17/2015-12-27T17:01:27,2015-06-25T14:55:17/2015-12-27T17:01:27,24.5,51.5,111319.49,3,Juvenile,Unknown,6,5797,27.48,37.75
182,1282_188959,Eretmochelys imbricata,2012-05-19T08:10:02/2012-05-19T08:10:02,2012-05-19T08:10:02/2012-05-19T08:10:02,21.5,60.5,111319.49,1,Adult,Female,3138,100647,26.61,36.38
183,1255_767720,Eretmochelys imbricata,2010-07-22T14:25:56/2010-07-22T14:25:56,2010-07-22T14:25:56/2010-07-22T14:25:56,27.5,64.5,111319.49,1,Adult,Female,-934,-225559,NA,NA
184,1255_768604,Eretmochelys imbricata,2010-06-15T20:00:14/2010-10-25T13:41:37,2010-06-15T20:00:14/2010-10-25T13:41:37,18.5,57.5,111319.49,2,Adult,Female,117,48734,25.77,36.11
